tag,delta,mwu
TSS_415,-0.17762999999999998,-0.1446644519695946
TSS_859,-1.5559755555555554,0.0
TSS_772,-0.7539766666666667,0.0
TSS_703,-0.5413544444444445,0.0
TSS_907,-0.4830777777777777,0.0
TSS_908,-0.4500444444444444,0.0
TSS_29,-0.43852222222222215,0.0
TSS_897,-0.39340444444444445,0.0
TSS_454.1,-0.3503755555555556,0.0
TSS_173,-0.3210166666666667,0.0
TSS_526.1,-0.31214777777777775,0.0
TSS_30,-0.31096444444444443,0.0
TSS_500,-0.3047177777777777,0.0
TSS_878,-0.3046,0.0
TSS_1071,-0.30263666666666666,0.0
TSS_379,-0.3019477777777778,0.0
TSS_121,-0.29805000000000004,0.0
TSS_320,-0.29660333333333333,0.0
TSS_502,-0.2896155555555555,0.0
TSS_296,-0.2889133333333333,0.0
TSS_511,-0.28468333333333334,0.0
TSS_618.1,-0.2769277777777777,0.0
TSS_568,-0.27690333333333333,0.0
TSS_206,-0.2727455555555555,0.0
TSS_119,-0.2723022222222223,0.0
TSS_218,-0.2642022222222222,0.0
TSS_956,-0.26269333333333333,0.0
TSS_909,-0.25990888888888886,0.0
TSS_59,-0.25896333333333327,0.0
TSS_501,-0.2577022222222222,0.0
TSS_38,-0.25631,0.0
TSS_1096,-0.25588,0.0
TSS_1065,-0.2512366666666666,0.0
TSS_845,-0.25035444444444444,0.0
TSS_804,-0.24972777777777777,0.0
TSS_144.1,-0.2479033333333333,0.0
TSS_690,-0.24775888888888892,0.0
TSS_818,-0.24700222222222218,0.0
TSS_175,-0.24584777777777778,0.0
TSS_183,-0.24336444444444444,0.0
TSS_483.1,-0.24176444444444448,0.0
TSS_829,-0.24037666666666663,0.0
TSS_47,-0.24030666666666667,0.0
TSS_275,-0.23941666666666667,0.0
TSS_45,-0.23899111111111113,0.0
TSS_14,-0.23854888888888887,0.0
TSS_744,-0.23849222222222227,0.0
TSS_5.1,-0.23796444444444445,0.0
TSS_910,-0.23543333333333333,0.0
TSS_141,-0.23508222222222225,0.0
TSS_1051,-0.23305444444444445,0.0
TSS_1001.2,-0.2327655555555556,0.0
TSS_370,-0.23199222222222224,0.0
TSS_605.1,-0.23156888888888888,0.0
TSS_620,-0.2309,0.0
TSS_48,-0.23038333333333336,0.0
TSS_757,-0.2288244444444444,0.0
TSS_220,-0.2286688888888889,0.0
TSS_1015,-0.2283477777777778,0.0
TSS_885,-0.22782888888888891,0.0
TSS_25.1,-0.2274233333333333,0.0
TSS_736,-0.22551777777777776,0.0
TSS_542,-0.22535333333333332,0.0
TSS_556,-0.2240988888888889,0.0
TSS_639,-0.22349444444444444,0.0
TSS_3,-0.22191555555555553,0.0
TSS_122,-0.2214266666666667,0.0
TSS_59.1,-0.22080666666666668,0.0
TSS_613,-0.21698777777777778,0.0
TSS_201,-0.21635555555555555,0.0
TSS_592,-0.21494666666666667,0.0
TSS_61,-0.21488555555555552,0.0
TSS_776,-0.2137111111111111,0.0
TSS_739.1,-0.21209222222222224,0.0
TSS_950.1,-0.21195333333333333,0.0
TSS_118,-0.21076444444444442,0.0
TSS_329,-0.2102133333333333,0.0
TSS_590,-0.20930555555555552,0.0
TSS_651,-0.2060155555555555,0.0
TSS_245.1,-0.20525888888888888,0.0
TSS_886,-0.20514222222222223,0.0
TSS_940.2,-0.20472666666666667,0.0
TSS_892,-0.20432999999999998,0.0
TSS_441,-0.20416777777777778,0.0
TSS_188.5,-0.20370666666666665,0.0
TSS_250,-0.2035022222222222,0.0
TSS_251,-0.20323111111111114,0.0
TSS_629,-0.20256777777777776,0.0
TSS_763,-0.20248555555555553,0.0
TSS_822,-0.20248111111111108,0.0
TSS_899,-0.2004466666666667,0.0
TSS_22.1,-0.20018333333333332,0.0
TSS_156,-0.19919444444444442,0.0
TSS_662,-0.19811555555555554,0.0
TSS_743,-0.19736111111111113,0.0
TSS_1111.1,-0.19664222222222225,0.0
TSS_65,-0.19581555555555552,0.0
TSS_288,-0.19559999999999997,0.0
TSS_346,-0.19492888888888887,0.0
TSS_242.1,-0.19448999999999997,0.0
TSS_828,-0.1944377777777778,0.0
TSS_1107,-0.19442333333333334,0.0
TSS_747,-0.19437333333333334,0.0
TSS_706,-0.19437333333333331,0.0
TSS_615,-0.19396777777777777,0.0
TSS_322,-0.19372333333333333,0.0
TSS_584,-0.19316,0.0
TSS_321,-0.19264222222222224,0.0
TSS_702,-0.19247555555555557,0.0
TSS_1001,-0.19188111111111109,0.0
TSS_652,-0.19142555555555554,0.0
TSS_695,-0.19047555555555556,0.0
TSS_624,-0.19046555555555555,0.0
TSS_377,-0.1901677777777778,0.0
TSS_473.1,-0.1900322222222222,0.0
TSS_789,-0.18882444444444446,0.0
TSS_380,-0.18861999999999998,0.0
TSS_88,-0.18858777777777777,0.0
TSS_205,-0.18857777777777776,0.0
TSS_274,-0.18854999999999997,0.0
TSS_40,-0.18818888888888888,0.0
TSS_356.1,-0.18780777777777777,0.0
TSS_572.2,-0.18768222222222222,0.0
TSS_1083.1,-0.1874411111111111,0.0
TSS_701,-0.18734444444444442,0.0
TSS_1043,-0.18694666666666668,0.0
TSS_209,-0.18616333333333335,0.0
TSS_1072,-0.1855111111111111,0.0
TSS_381,-0.1852111111111111,0.0
TSS_935,-0.18466777777777776,0.0
TSS_530,-0.18360555555555555,0.0
TSS_534.1,-0.18327555555555555,0.0
TSS_97,-0.18275777777777777,0.0
TSS_669,-0.18267777777777777,0.0
TSS_1049.1,-0.18225222222222223,0.0
TSS_217,-0.18220555555555557,0.0
TSS_298.1,-0.18078777777777777,0.0
TSS_104,-0.18031444444444442,0.0
TSS_1079.1,-0.17981444444444442,0.0
TSS_1081,-0.17974777777777773,0.0
TSS_208.2,-0.17951555555555554,0.0
TSS_461,-0.17915222222222224,0.0
TSS_695.1,-0.17883444444444443,0.0
TSS_331,-0.17883333333333332,0.0
TSS_465,-0.17883333333333332,0.0
TSS_809,-0.1786211111111111,0.0
TSS_972,-0.1782922222222222,0.0
TSS_464,-0.17772222222222223,0.0
TSS_292,-0.17715,0.0
TSS_716,-0.17667333333333332,0.0
TSS_962,-0.1761666666666667,0.0
TSS_666,-0.1760922222222222,0.0
TSS_603,-0.1760488888888889,0.0
TSS_934.1,-0.1760488888888889,0.0
TSS_904.1,-0.17562,0.0
TSS_269.1,-0.17549333333333333,0.0
TSS_63,-0.17487444444444444,0.0
TSS_212.1,-0.17444333333333334,0.0
TSS_532.2,-0.1744322222222222,0.0
TSS_18.2,-0.17331111111111108,0.0
TSS_714,-0.1731011111111111,0.0
TSS_216.1,-0.17289444444444443,0.0
TSS_103,-0.1724922222222222,0.0
TSS_524,-0.17239444444444443,0.0
TSS_633,-0.17210444444444442,0.0
TSS_1056,-0.17190222222222223,0.0
TSS_2.4,-0.17164666666666667,0.0
TSS_280,-0.17115111111111114,0.0
TSS_259.1,-0.17114000000000001,0.0
TSS_660,-0.17062666666666665,0.0
TSS_45.1,-0.17041333333333333,0.0
TSS_999,-0.17030444444444442,0.0
TSS_1016.1,-0.16960444444444445,0.0
TSS_1074,-0.1694488888888889,0.0
TSS_323,-0.16901888888888889,0.0
TSS_912,-0.16871666666666665,0.0
TSS_462,-0.1686777777777778,0.0
TSS_474,-0.1685611111111111,0.0
TSS_479,-0.16856,0.0
TSS_150,-0.16835555555555554,0.0
TSS_276.1,-0.16832999999999998,0.0
TSS_555,-0.16800555555555555,0.0
TSS_399,-0.16800444444444443,0.0
TSS_13,-0.1678533333333333,0.0
TSS_265,-0.16735666666666668,0.0
TSS_54,-0.16732777777777774,0.0
TSS_896.1,-0.16660555555555556,0.0
TSS_115,-0.16637555555555555,0.0
TSS_281,-0.1663311111111111,0.0
TSS_475,-0.1663311111111111,0.0
TSS_826,-0.1663311111111111,0.0
TSS_952,-0.1663311111111111,0.0
TSS_89,-0.16625222222222222,0.0
TSS_99,-0.16577555555555554,0.0
TSS_367,-0.16577555555555554,0.0
TSS_369,-0.16577555555555554,0.0
TSS_474.3,-0.16577555555555554,0.0
TSS_587,-0.16577555555555554,0.0
TSS_439,-0.16543777777777777,0.0
TSS_705,-0.16509444444444443,0.0
TSS_77,-0.16496555555555553,0.0
TSS_608,-0.16494666666666666,0.0
TSS_357,-0.16471333333333332,0.0
TSS_134,-0.16443333333333332,0.0
TSS_436,-0.16443333333333332,0.0
TSS_457,-0.16443333333333332,0.0
TSS_513,-0.16443333333333332,0.0
TSS_774,-0.16443333333333332,0.0
TSS_1083,-0.16443333333333332,0.0
TSS_513.1,-0.16410777777777777,0.0
TSS_312,-0.16387777777777776,0.0
TSS_266,-0.16366333333333333,0.0
TSS_382,-0.16276444444444443,0.0
TSS_728,-0.16253555555555554,0.0
TSS_764,-0.16253555555555554,0.0
TSS_727,-0.16248444444444443,0.0
TSS_722.1,-0.1624188888888889,0.0
TSS_641,-0.1622,0.0
TSS_538,-0.1620411111111111,0.0
TSS_305,-0.16192888888888887,0.0
